rent_category;year;mediaan_rendement;p10;p90
free;2020;0,0764408960221612;0,05866654295183164;0,1214651572641457
free;2022;0,0383206408558475;0,02150074016949959;0,0644338290299212
middle;2020;0,0788137650083253;0,05550025241262779;0,1290926673804005
middle;2022;0,0210128780521754;0,00550818269805764;0,0401166103028857
social;2020;0,0957956521737869;0,05147176127889028;0,1605796942557104
social;2022;0,0255249209844387;0,00734252740922487;0,0490601113290198
