jaar_beleid;aanvangsrendement;leverage
2020;5,13069827188025;0,0
2022;3,29779457786392;0,0
2020;6,45246932187740;0,3
2022;3,01207498910556;0,3
2020;8,05411091797090;0,5
2022;2,70700543942572;0,5
2020;11,78412171853483;0,7
2022;2,21497441856199;0,7
